"Species","inside","landscape.250m","landscape.5km"
"AMAV",1,0.998047770502851,0.925610484095717
"AMAV",0.998047770502851,1,0.932774879505908
"AMAV",0.925610484095717,0.932774879505908,1
"BNST",1,0.994996952942181,0.662097970688603
"BNST",0.994996952942181,1,0.67154880096485
"BNST",0.662097970688603,0.67154880096485,1
"DOWI",1,0.99961212939371,0.835097100118784
"DOWI",0.99961212939371,1,0.836295637880819
"DOWI",0.835097100118784,0.836295637880819,1
"DUNL",1,0.998978941251548,0.651923644289879
"DUNL",0.998978941251548,1,0.654935519946276
"DUNL",0.651923644289879,0.654935519946276,1
"ANAC",1,0.999289611611568,0.86192533116032
"ANAC",0.999289611611568,1,0.866418465597997
"ANAC",0.86192533116032,0.866418465597997,1
"ANCL",1,0.999368556606164,0.329437770896597
"ANCL",0.999368556606164,1,0.331361125826699
"ANCL",0.329437770896597,0.331361125826699,1
"ANCR",1,0.999619429397931,0.674572179651715
"ANCR",0.999619429397931,1,0.675771880151858
"ANCR",0.674572179651715,0.675771880151858,1
