"number" "dsum" "count" "missing" "quant_error" "fname"
0 720941. 40246 563186 0.000901899 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_AMAV_inside.tif"
1 2.48724e+06 40246 563186 0.00102539 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_BNST_inside.tif"
2 3.01436e+06 40246 563186 0.00180762 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DOWI_inside.tif"
3 2.06238e+06 40246 563186 0.00203636 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DUNL_inside.tif"
4 1.54819e+06 40246 563186 0.00470803 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANAC_inside.tif"
5 4.71798e+06 40246 563186 0.00104080 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANCL_inside.tif"
6 1.42025e+06 40246 563186 0.000760649 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANCR_inside.tif"
7 735545. 40246 563186 0.00182378 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_AMAV_inside.tif"
8 3.40277e+06 40246 563186 0.00117273 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_BNST_inside.tif"
9 4.3131e+06 40246 563186 0.000547796 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DOWI_inside.tif"
10 506919. 40246 563186 0.00134854 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DUNL_inside.tif"
11 1.54567e+06 40246 563186 0.00402958 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANAC_inside.tif"
12 3.85021e+06 40246 563186 0.00218431 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCL_inside.tif"
13 1.19167e+06 40246 563186 0.00559512 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_inside.tif"
14 613515. 40246 563186 0.00102753 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_inside.tif"
15 2.41969e+06 40246 563186 0.000797239 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_inside.tif"
16 3.41998e+06 40246 563186 0.000893816 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_inside.tif"
17 1.42806e+06 40246 563186 0.00149284 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_inside.tif"
18 1.52005e+06 40246 563186 0.00483530 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_inside.tif"
19 4.18485e+06 40246 563186 0.00102263 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_inside.tif"
20 1.26416e+06 40246 563186 0.00100834 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_inside.tif"
21 470595. 40246 563186 0.000137295 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_inside.tif"
22 2.48765e+06 40246 563186 0.000690340 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_inside.tif"
23 2.47223e+06 40246 563186 0.000270746 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_inside.tif"
24 2.23236e+06 40246 563186 2.74419e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_inside.tif"
25 1.55485e+06 40246 563186 0.000924670 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_inside.tif"
26 5.42054e+06 40246 563186 0.000484609 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_inside.tif"
27 1.50241e+06 40246 563186 0.000818269 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_inside.tif"
