"number" "dsum" "count" "missing" "quant_error" "fname"
0 1.35812e+08 40246 563186 0.00120464 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_AMAV_landscape-5km.tif"
1 2.29553e+08 40246 563186 0.00270343 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_BNST_landscape-5km.tif"
2 2.39995e+08 40246 563186 0.000777001 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DOWI_landscape-5km.tif"
3 2.34539e+08 40246 563186 0.000421860 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DUNL_landscape-5km.tif"
4 1.89105e+08 40246 563186 0.00297590 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANAC_landscape-5km.tif"
5 3.34803e+08 40246 563186 0.00148895 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANCL_landscape-5km.tif"
6 1.10957e+08 40246 563186 0.00363701 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANCR_landscape-5km.tif"
7 1.36838e+08 40246 563186 0.000977149 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_AMAV_landscape-5km.tif"
8 3.78064e+08 40246 563186 0.000598517 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_BNST_landscape-5km.tif"
9 4.0813e+08 40246 563186 8.75239e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DOWI_landscape-5km.tif"
10 1.073e+08 40246 563186 0.000887170 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DUNL_landscape-5km.tif"
11 2.23595e+08 40246 563186 0.00523660 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANAC_landscape-5km.tif"
12 7.33527e+08 40246 563186 0.000227935 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCL_landscape-5km.tif"
13 1.13353e+08 40246 563186 0.00602608 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_landscape-5km.tif"
14 1.23917e+08 40246 563186 0.00104993 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_landscape-5km.tif"
15 2.41749e+08 40246 563186 0.000892054 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_landscape-5km.tif"
16 2.99586e+08 40246 563186 0.000438691 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_landscape-5km.tif"
17 1.84969e+08 40246 563186 4.46458e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_landscape-5km.tif"
18 2.095e+08 40246 563186 0.00497037 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_landscape-5km.tif"
19 5.63456e+08 40246 563186 0.000712077 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_landscape-5km.tif"
20 1.10806e+08 40246 563186 0.00126288 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_landscape-5km.tif"
21 9.61125e+07 40246 563186 0.000373993 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_landscape-5km.tif"
22 2.39453e+08 40246 563186 0.00129644 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_landscape-5km.tif"
23 2.21566e+08 40246 563186 0.000403861 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_landscape-5km.tif"
24 2.41591e+08 40246 563186 0.000424188 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_landscape-5km.tif"
25 1.8764e+08 40246 563186 5.12052e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_landscape-5km.tif"
26 3.00392e+08 40246 563186 0.00133129 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_landscape-5km.tif"
27 1.1125e+08 40246 563186 0.00267985 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_landscape-5km.tif"
