"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.7610 0.7610
0.00020 0.7634 0.7634
0.00030 0.7868 0.7868
0.00040 0.8078 0.8078
0.00050 0.7688 0.7688
0.00060 0.7934 0.7934
0.00070 0.8012 0.8012
0.00080 0.7814 0.7814
0.00089 0.8084 0.8084
0.00099 0.8540 0.8540
0.00109 0.8072 0.8072
0.00119 0.7700 0.7700
0.00129 0.7868 0.7868
0.00139 0.7928 0.7928
0.00149 0.7994 0.7994
0.00159 0.8102 0.8102
0.00169 0.7988 0.7988
0.00179 0.8108 0.8108
0.00189 0.8300 0.8300
0.00199 0.8234 0.8234
0.00209 0.8282 0.8282
0.00219 0.7245 0.7245
0.00229 0.7706 0.7706
0.00239 0.7880 0.7880
0.00248 0.8096 0.8096
0.00258 0.8330 0.8330
0.00268 0.9020 0.9020
0.00278 0.8792 0.8792
0.00288 0.6717 0.6717
0.00298 0.7358 0.7358
0.00308 0.7706 0.7706
0.00318 0.7748 0.7748
0.00328 0.7808 0.7808
0.00338 0.7832 0.7832
0.00348 0.7886 0.7886
0.00358 0.7934 0.7934
0.00368 0.7952 0.7952
0.00378 0.8066 0.8066
0.00388 0.8480 0.8480
0.00398 0.9164 0.9164
0.00407 0.9445 0.9445
0.00417 0.8636 0.8636
0.00427 0.8804 0.8804
0.00437 0.8930 0.8930
0.00447 0.9326 0.9326
0.00457 0.9338 0.9338
0.00467 0.9481 0.9481
0.00477 0.6765 0.6765
0.00487 0.6855 0.6855
0.00497 0.8216 0.8216
0.00507 0.8966 0.8966
0.00517 0.8156 0.8156
0.00527 0.7760 0.7760
0.00537 0.7778 0.7778
0.00547 0.7826 0.7826
0.00557 0.7892 0.7892
0.00567 0.7952 0.7952
0.00576 0.8048 0.8048
0.00586 0.8102 0.8102
0.00596 0.8282 0.8282
0.00606 0.8456 0.8456
0.00616 0.8636 0.8636
0.00626 0.9188 0.9188
0.00636 0.9218 0.9218
0.00646 0.9254 0.9254
0.00656 0.9224 0.9224
0.00666 0.9326 0.9326
0.00676 0.9403 0.9403
0.00686 0.9469 0.9469
0.00696 0.9266 0.9266
