"number" "dsum" "count" "missing" "quant_error" "fname"
0 470595. 40246 563186 0.000137295 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_inside.tif"
1 1.43871e+06 40246 563186 0.00393883 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_landscape-250m.tif"
2 9.61125e+07 40246 563186 0.000373993 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_landscape-5km.tif"
3 2.48765e+06 40246 563186 0.000690340 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_inside.tif"
4 7.60903e+06 40246 563186 0.000482312 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_landscape-250m.tif"
5 2.39453e+08 40246 563186 0.00129644 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_landscape-5km.tif"
6 2.47223e+06 40246 563186 0.000270746 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_inside.tif"
7 7.56642e+06 40246 563186 0.00102358 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_landscape-250m.tif"
8 2.21566e+08 40246 563186 0.000403861 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_landscape-5km.tif"
9 2.23236e+06 40246 563186 2.74419e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_inside.tif"
10 6.82945e+06 40246 563186 0.000765264 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_landscape-250m.tif"
11 2.41591e+08 40246 563186 0.000424188 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_landscape-5km.tif"
12 1.55485e+06 40246 563186 0.000924670 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_inside.tif"
13 4.76e+06 40246 563186 0.00148189 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_landscape-250m.tif"
14 1.8764e+08 40246 563186 5.12052e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_landscape-5km.tif"
15 5.42054e+06 40246 563186 0.000484609 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_inside.tif"
16 1.65961e+07 40246 563186 0.000130171 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_landscape-250m.tif"
17 3.00392e+08 40246 563186 0.00133129 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_landscape-5km.tif"
18 1.50241e+06 40246 563186 0.000818269 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_inside.tif"
19 4.60094e+06 40246 563186 0.000587820 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_landscape-250m.tif"
20 1.1125e+08 40246 563186 0.00267985 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_landscape-5km.tif"
