Valley,Year,Month,Index,Type
Sacramento,2019,Dec,7.3,BN
Sacramento,2020,Jan,7.6,BN
Sacramento,2020,Feb,6.7,BN
Sacramento,2020,Mar,5.9,D
Sacramento,2020,Apr,6,D
Sacramento,2020,May,6,D
San Joaquin,2019,Dec,2.9,BN
San Joaquin,2020,Jan,3.1,AN
San Joaquin,2020,Feb,2.7,BN
San Joaquin,2020,Mar,2,C
San Joaquin,2020,Apr,2.2,D
San Joaquin,2020,May,2.3,D
Sacramento,2020,Dec,5.9,D
Sacramento,2021,Jan,5.3,C
Sacramento,2021,Feb,5,C
Sacramento,2021,Mar,4.6,C
Sacramento,2021,Apr,4.4,C
Sacramento,2021,May,4,C
San Joaquin,2020,Dec,2.2,D
San Joaquin,2021,Jan,1.9,C
San Joaquin,2021,Feb,2.3,D
San Joaquin,2021,Mar,1.8,C
San Joaquin,2021,Apr,1.6,C
San Joaquin,2021,May,1.4,C
