Valley,WaterYear,Runoff,Index,Type
Sacramento,1906,26.71,11.76,W
Sacramento,1907,33.70,14.07,W
Sacramento,1908,14.77,7.73,BN
Sacramento,1909,30.68,12.10,W
Sacramento,1910,20.12,9.38,W
Sacramento,1911,26.38,11.74,W
Sacramento,1912,11.41,6.71,BN
Sacramento,1913,12.85,6.24,D
Sacramento,1914,27.81,10.92,W
Sacramento,1915,23.86,10.99,W
Sacramento,1916,24.14,10.83,W
Sacramento,1917,17.26,8.83,AN
Sacramento,1918,10.99,6.19,D
Sacramento,1919,15.66,7.00,BN
Sacramento,1920,9.20,5.15,C
Sacramento,1921,23.80,9.20,AN
Sacramento,1922,17.98,8.97,AN
Sacramento,1923,13.21,7.06,BN
Sacramento,1924,5.74,3.87,C
Sacramento,1925,15.99,6.39,D
Sacramento,1926,11.76,5.75,D
Sacramento,1927,23.83,9.52,W
Sacramento,1928,16.76,8.27,AN
Sacramento,1929,8.40,5.22,C
Sacramento,1930,13.52,5.90,D
Sacramento,1931,6.10,3.66,C
Sacramento,1932,13.12,5.48,D
Sacramento,1933,8.94,4.63,C
Sacramento,1934,8.63,4.07,C
Sacramento,1935,16.59,6.98,BN
Sacramento,1936,17.35,7.75,BN
Sacramento,1937,13.33,6.87,BN
Sacramento,1938,31.83,12.62,W
Sacramento,1939,8.18,5.58,D
Sacramento,1940,22.43,8.88,AN
Sacramento,1941,27.08,11.47,W
Sacramento,1942,25.24,11.27,W
Sacramento,1943,21.13,9.77,W
Sacramento,1944,10.43,6.35,D
Sacramento,1945,15.06,6.80,BN
Sacramento,1946,17.62,7.70,BN
Sacramento,1947,10.39,5.61,D
Sacramento,1948,15.75,7.12,BN
Sacramento,1949,11.97,6.09,D
Sacramento,1950,14.44,6.62,BN
Sacramento,1951,22.95,9.18,AN
Sacramento,1952,28.60,12.38,W
Sacramento,1953,20.09,9.55,W
Sacramento,1954,17.43,8.51,AN
Sacramento,1955,10.98,6.14,D
Sacramento,1956,29.89,11.38,W
Sacramento,1957,14.89,7.83,AN
Sacramento,1958,29.71,12.16,W
Sacramento,1959,12.05,6.75,BN
Sacramento,1960,13.06,6.20,D
Sacramento,1961,11.97,5.68,D
Sacramento,1962,15.11,6.65,BN
Sacramento,1963,22.99,9.63,W
Sacramento,1964,10.92,6.41,D
