"DataSource","Name","BasinName","ClassName","Mosaic","MosaicDateStart","MosaicDateEnd","ObservedArea","ObservedAreaWater","PercentObserved","PercentWater","EstimatedAreaWater","Threshold"
"Ducks Unlimited","American Rice","American","Rice","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",396418500,7371000,100,1.85939859012634,7371000,0.07897201
"Ducks Unlimited","American Seasonal Wetland","American","Seasonal Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",18936000,3642300,100,19.2347908745247,3642300,0.07897201
"Ducks Unlimited","American Semi-permanent Wetland","American","Semi-permanent Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",3985200,2859300,100,71.7479674796748,2859300,0.07897201
"Ducks Unlimited","Butte Rice","Butte","Rice","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",596280600,40720500,100,6.82908348854549,40720500,0.07897201
"Ducks Unlimited","Butte Seasonal Wetland","Butte","Seasonal Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",133511400,23180400,100,17.3621128982244,23180400,0.07897201
"Ducks Unlimited","Butte Semi-permanent Wetland","Butte","Semi-permanent Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",3254400,1710000,100,52.5442477876106,1710000,0.07897201
"Ducks Unlimited","Butte Treated Wetland","Butte","Treated Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",246600,216000,100,87.5912408759124,216000,0.07897201
"Ducks Unlimited","Colusa Rice","Colusa","Rice","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",916321500,24120000,100,2.63226389427728,24120000,0.07897201
"Ducks Unlimited","Colusa Seasonal Wetland","Colusa","Seasonal Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",92562300,31330800,100,33.8483378222019,31330800,0.07897201
"Ducks Unlimited","Colusa Semi-permanent Wetland","Colusa","Semi-permanent Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",10671300,5712300,100,53.5295605971156,5712300,0.07897201
"Ducks Unlimited","Colusa Treated Wetland","Colusa","Treated Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",780300,552600,100,70.8189158016148,552600,0.07897201
"Ducks Unlimited","Delta Rice","Delta","Rice","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",15581700,190050,100,1.2197000327307,190050,0.07897201
"Ducks Unlimited","Delta Seasonal Wetland","Delta","Seasonal Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",32896800,6224400,100,18.9209892755526,6224400,0.07897201
"Ducks Unlimited","Delta Semi-permanent Wetland","Delta","Semi-permanent Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",9381600,7495500,100,79.8957533896137,7495500,0.07897201
"Ducks Unlimited","Delta Treated Wetland","Delta","Treated Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",2558700,1416750,100,55.3699144096612,1416750,0.07897201
"Ducks Unlimited","San Joaquin Seasonal Wetland","San Joaquin","Seasonal Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",222447600,14759550,100,6.63506821381755,14759550,0.07897201
"Ducks Unlimited","San Joaquin Semi-permanent Wetland","San Joaquin","Semi-permanent Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",10140300,6168600,100,60.8325197479365,6168600,0.07897201
"Ducks Unlimited","San Joaquin Treated Wetland","San Joaquin","Treated Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",7209900,6664950,100,92.4416427412308,6664950,0.07897201
"Ducks Unlimited","Suisun Seasonal Wetland","Suisun","Seasonal Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",116351100,24340950,100,20.9202577371422,24340950,0.07897201
"Ducks Unlimited","Suisun Semi-permanent Wetland","Suisun","Semi-permanent Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",22231800,14870250,100,66.8872965751761,14870250,0.07897201
"Ducks Unlimited","Sutter Rice","Sutter","Rice","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",294323400,9867600,100,3.35263862812131,9867600,0.07897201
"Ducks Unlimited","Sutter Seasonal Wetland","Sutter","Seasonal Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",13332600,4540500,100,34.0556230592683,4540500,0.07897201
"Ducks Unlimited","Sutter Semi-permanent Wetland","Sutter","Semi-permanent Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",1268100,702900,100,55.4293825408091,702900,0.07897201
"Ducks Unlimited","Tulare Seasonal Wetland","Tulare","Seasonal Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",58104900,10841850,100,18.6590975976209,10841850,0.07897201
"Ducks Unlimited","Tulare Semi-permanent Wetland","Tulare","Semi-permanent Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",18285300,15150600,100,82.8567209725845,15150600,0.07897201
"Ducks Unlimited","Tulare Treated Wetland","Tulare","Treated Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",6919200,3566700,100,51.547866805411,3566700,0.07897201
"Ducks Unlimited","Yolo Rice","Yolo","Rice","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",77770800,3114900,100,4.00523075498773,3114900,0.07897201
"Ducks Unlimited","Yolo Seasonal Wetland","Yolo","Seasonal Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",40587300,4868100,100,11.9941459520589,4868100,0.07897201
"Ducks Unlimited","Yolo Semi-permanent Wetland","Yolo","Semi-permanent Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",5116500,3147750,100,61.5215479331574,3147750,0.07897201
"Ducks Unlimited","Yolo Treated Wetland","Yolo","Treated Wetland","L8_valley_20130416to20130425_water.tif","2013-04-16","2013-04-25",1860300,1453500,100,78.1325592646347,1453500,0.07897201
"Ducks Unlimited","American Rice","American","Rice","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Seasonal Wetland","American","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Semi-permanent Wetland","American","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Rice","Butte","Rice","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Seasonal Wetland","Butte","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Semi-permanent Wetland","Butte","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Treated Wetland","Butte","Treated Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Rice","Colusa","Rice","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Seasonal Wetland","Colusa","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Semi-permanent Wetland","Colusa","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Treated Wetland","Colusa","Treated Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Delta Rice","Delta","Rice","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",7189200,237600,46.1387396753884,3.30495743615423,514968.552829244,0.07897201
"Ducks Unlimited","Delta Seasonal Wetland","Delta","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",4103100,799200,12.4726417159116,19.4779556920377,6407624.12809827,0.07897201
"Ducks Unlimited","Delta Semi-permanent Wetland","Delta","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",2325600,2057400,24.7889485801995,88.4674922600619,8299666.25386997,0.07897201
"Ducks Unlimited","Delta Treated Wetland","Delta","Treated Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",1973700,1352700,77.1368272951108,68.5362517099863,1753637.07250342,0.07897201
"Ducks Unlimited","San Joaquin Seasonal Wetland","San Joaquin","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",222447600,14730750,100,6.62212134453237,14730750,0.07897201
"Ducks Unlimited","San Joaquin Semi-permanent Wetland","San Joaquin","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",10140300,6181200,100,60.9567764267329,6181200,0.07897201
"Ducks Unlimited","San Joaquin Treated Wetland","San Joaquin","Treated Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",7209900,6679800,100,92.6476095368868,6679800,0.07897201
"Ducks Unlimited","Suisun Seasonal Wetland","Suisun","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Suisun Semi-permanent Wetland","Suisun","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Rice","Sutter","Rice","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Seasonal Wetland","Sutter","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Semi-permanent Wetland","Sutter","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Tulare Seasonal Wetland","Tulare","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",58104900,6248250,100,10.7533960130729,6248250,0.07897201
