"number" "dsum" "count" "missing" "quant_error" "fname"
0 613515. 40246 563186 0.00102753 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_inside.tif"
1 1.87551e+06 40246 563186 0.00197016 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_landscape-250m.tif"
2 1.23917e+08 40246 563186 0.00104993 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_landscape-5km.tif"
3 2.41969e+06 40246 563186 0.000797239 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_inside.tif"
4 7.39951e+06 40246 563186 1.34989e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_landscape-250m.tif"
5 2.41749e+08 40246 563186 0.000892054 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_landscape-5km.tif"
6 3.41998e+06 40246 563186 0.000893816 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_inside.tif"
7 1.04686e+07 40246 563186 0.00126202 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_landscape-250m.tif"
8 2.99586e+08 40246 563186 0.000438691 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_landscape-5km.tif"
9 1.42806e+06 40246 563186 0.00149284 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_inside.tif"
10 4.37025e+06 40246 563186 0.000354014 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_landscape-250m.tif"
11 1.84969e+08 40246 563186 4.46458e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_landscape-5km.tif"
12 1.52005e+06 40246 563186 0.00483530 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_inside.tif"
13 4.65351e+06 40246 563186 0.000676801 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_landscape-250m.tif"
14 2.095e+08 40246 563186 0.00497037 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_landscape-5km.tif"
15 4.18485e+06 40246 563186 0.00102263 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_inside.tif"
16 1.28144e+07 40246 563186 0.00137711 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_landscape-250m.tif"
17 5.63456e+08 40246 563186 0.000712077 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_landscape-5km.tif"
18 1.26416e+06 40246 563186 0.00100834 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_inside.tif"
19 3.87141e+06 40246 563186 0.000416441 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_landscape-250m.tif"
20 1.10806e+08 40246 563186 0.00126288 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_landscape-5km.tif"
