"number" "dsum" "count" "missing" "quant_error" "fname"
0 720941. 40246 563186 0.000901899 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_AMAV_inside.tif"
1 2.20393e+06 40246 563186 0.000323510 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_AMAV_landscape-250m.tif"
2 1.35812e+08 40246 563186 0.00120464 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_AMAV_landscape-5km.tif"
3 2.48724e+06 40246 563186 0.00102539 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_BNST_inside.tif"
4 7.60655e+06 40246 563186 0.000710366 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_BNST_landscape-250m.tif"
5 2.29553e+08 40246 563186 0.00270343 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_BNST_landscape-5km.tif"
6 3.01436e+06 40246 563186 0.00180762 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DOWI_inside.tif"
7 9.22642e+06 40246 563186 0.000424346 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DOWI_landscape-250m.tif"
8 2.39995e+08 40246 563186 0.000777001 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DOWI_landscape-5km.tif"
9 2.06238e+06 40246 563186 0.00203636 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DUNL_inside.tif"
10 6.31158e+06 40246 563186 0.00100700 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DUNL_landscape-250m.tif"
11 2.34539e+08 40246 563186 0.000421860 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DUNL_landscape-5km.tif"
12 1.54819e+06 40246 563186 0.00470803 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANAC_inside.tif"
13 4.73937e+06 40246 563186 0.00232382 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANAC_landscape-250m.tif"
14 1.89105e+08 40246 563186 0.00297590 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANAC_landscape-5km.tif"
15 4.71798e+06 40246 563186 0.00104080 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANCL_inside.tif"
