"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.00000 0.0000 0.0000 0.0000
0.00010 0.8834 0.8810 0.7994
0.00020 0.8864 0.8852 0.7982
0.00030 0.8888 0.8876 0.8078
0.00040 0.8924 0.8900 0.7850
0.00050 0.8954 0.8942 0.7916
0.00060 0.8912 0.8906 0.8030
0.00070 0.8918 0.8894 0.8060
0.00080 0.8870 0.8864 0.7898
0.00089 0.8924 0.8894 0.7904
0.00099 0.8966 0.8954 0.7958
0.00109 0.8966 0.8948 0.7970
0.00119 0.8936 0.8924 0.8012
0.00129 0.8936 0.8924 0.7994
0.00139 0.8960 0.8936 0.7994
0.00149 0.8978 0.8972 0.7964
0.00159 0.8954 0.8942 0.7952
0.00169 0.8942 0.8918 0.8084
0.00179 0.9050 0.9026 0.8048
0.00189 0.8894 0.8882 0.8012
0.00199 0.8912 0.8888 0.7982
0.00209 0.8876 0.8870 0.7934
0.00219 0.8948 0.8930 0.8012
0.00229 0.8990 0.8978 0.8054
0.00239 0.8996 0.8966 0.8048
0.00248 0.8954 0.8954 0.7958
0.00258 0.9002 0.8984 0.8030
0.00268 0.9116 0.9110 0.8108
0.00278 0.9074 0.9056 0.8234
0.00288 0.8978 0.8960 0.7970
0.00298 0.9014 0.9008 0.8012
0.00308 0.8912 0.8894 0.8006
0.00318 0.8972 0.8954 0.7988
0.00328 0.8984 0.8972 0.7976
0.00338 0.9068 0.9062 0.8024
0.00348 0.9086 0.9074 0.8066
0.00358 0.8912 0.8888 0.8012
0.00368 0.8894 0.8888 0.8006
0.00378 0.8942 0.8930 0.8000
0.00388 0.8936 0.8930 0.7976
0.00398 0.8954 0.8942 0.7952
0.00407 0.8942 0.8936 0.7982
0.00417 0.9056 0.9032 0.8072
0.00427 0.9110 0.9092 0.8066
0.00437 0.9170 0.9170 0.8552
0.00447 0.8930 0.8906 0.8330
0.00457 0.9026 0.9014 0.8018
0.00467 0.8642 0.8618 0.7892
0.00477 0.8966 0.8948 0.8036
0.00487 0.9002 0.8990 0.7988
0.00497 0.8852 0.8846 0.7886
0.00507 0.8984 0.8972 0.7934
0.00517 0.9014 0.9014 0.8024
0.00527 0.9122 0.9110 0.8066
0.00537 0.9008 0.8990 0.8012
0.00547 0.8930 0.8912 0.7964
0.00557 0.8990 0.8966 0.8054
0.00567 0.9116 0.9110 0.8108
0.00576 0.9080 0.9050 0.8060
0.00586 0.9068 0.9056 0.8060
0.00596 0.8882 0.8864 0.7970
0.00606 0.8900 0.8894 0.7964
0.00616 0.8936 0.8930 0.7976
0.00626 0.8954 0.8930 0.8012
0.00636 0.8948 0.8942 0.7994
0.00646 0.8960 0.8948 0.8012
0.00656 0.8984 0.8972 0.8000
0.00666 0.8966 0.8954 0.8024
0.00676 0.9020 0.9002 0.8066
0.00686 0.9020 0.9008 0.8006
0.00696 0.9050 0.9038 0.8030
0.00706 0.9056 0.9032 0.8060
0.00716 0.9044 0.9038 0.8048
0.00726 0.9080 0.9050 0.8072
0.00735 0.9176 0.9164 0.8126
0.00745 0.9146 0.9146 0.8126
0.00755 0.8750 0.8726 0.8102
0.00765 0.8978 0.8972 0.7970
0.00775 0.9056 0.9062 0.8024
0.00785 0.9086 0.9080 0.8090
0.00795 0.9182 0.9170 0.8114
0.00805 0.9068 0.9068 0.7994
0.00815 0.9002 0.8972 0.7982
0.00825 0.9014 0.8990 0.8042
0.00835 0.9062 0.9050 0.8078
0.00845 0.9146 0.9128 0.8168
0.00855 0.9152 0.9128 0.8270
0.00865 0.8858 0.8852 0.7952
0.00875 0.8966 0.8966 0.7994
0.00885 0.9068 0.9050 0.8042
0.00894 0.9020 0.9014 0.8030
0.00904 0.9014 0.9008 0.8078
0.00914 0.9062 0.9038 0.8012
0.00924 0.9050 0.9026 0.8054
0.00934 0.9104 0.9092 0.8144
0.00944 0.9122 0.9104 0.8108
0.00954 0.9146 0.9122 0.8150
0.00964 0.9086 0.9086 0.8558
0.00974 0.8954 0.8948 0.7982
0.00984 0.9044 0.9026 0.7982
0.00994 0.9218 0.9200 0.8120
0.01004 0.8738 0.8726 0.8336
0.01014 0.8936 0.8930 0.7934
0.01024 0.8978 0.8972 0.7946
0.01034 0.9020 0.9020 0.7964
0.01044 0.9014 0.9008 0.8024
0.01054 0.9044 0.9038 0.7994
0.01063 0.9104 0.9104 0.8048
0.01073 0.9110 0.9110 0.8090
0.01083 0.9134 0.9122 0.8126
0.01093 0.9182 0.9182 0.8156
0.01103 0.9086 0.9074 0.8000
0.01113 0.9080 0.9056 0.8090
0.01123 0.9116 0.9104 0.8126
0.01133 0.9074 0.9050 0.8396
0.01143 0.9146 0.9140 0.8060
0.01153 0.9200 0.9206 0.8072
0.01163 0.8966 0.8942 0.8030
0.01173 0.8966 0.8942 0.8006
0.01183 0.8990 0.8984 0.8012
0.01193 0.9026 0.9008 0.8060
0.01203 0.9020 0.9014 0.8012
0.01213 0.9068 0.9062 0.8030
0.01222 0.9098 0.9092 0.8048
0.01232 0.9092 0.9092 0.8108
0.01242 0.9212 0.9200 0.8120
0.01252 0.8948 0.8930 0.7994
0.01262 0.8984 0.8960 0.7970
0.01272 0.8672 0.8666 0.7868
0.01282 0.8978 0.8972 0.7946
0.01292 0.9044 0.9038 0.7946
0.01302 0.9080 0.9086 0.8066
0.01312 0.9134 0.9134 0.8120
0.01322 0.9158 0.9146 0.8090
0.01332 0.9152 0.9146 0.8174
0.01342 0.9176 0.9182 0.8096
0.01352 0.9200 0.9188 0.8090
0.01362 0.8792 0.8786 0.7910
0.01372 0.9038 0.9014 0.8000
0.01382 0.9128 0.9110 0.8072
0.01391 0.9158 0.9152 0.8084
0.01401 0.9206 0.9206 0.8060
0.01411 0.9104 0.9080 0.8102
0.01421 0.8252 0.8252 0.7730
0.01431 0.9146 0.9140 0.8150
0.01441 0.9212 0.9206 0.8060
0.01451 0.8792 0.8786 0.7922
0.01461 0.8690 0.8690 0.7862
0.01471 0.9020 0.9014 0.7952
0.01481 0.9062 0.9068 0.8042
0.01491 0.9068 0.9062 0.8000
0.01501 0.9092 0.9092 0.8072
0.01511 0.9104 0.9098 0.8030
0.01521 0.9092 0.9104 0.8054
0.01531 0.9128 0.9116 0.8210
0.01541 0.9128 0.9134 0.8078
