"number" "dsum" "count" "missing" "quant_error" "fname"
0 2.20393e+06 40246 563186 0.000323510 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_AMAV_landscape-250m.tif"
1 7.60655e+06 40246 563186 0.000710366 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_BNST_landscape-250m.tif"
2 9.22642e+06 40246 563186 0.000424346 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DOWI_landscape-250m.tif"
3 6.31158e+06 40246 563186 0.00100700 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_DUNL_landscape-250m.tif"
4 4.73937e+06 40246 563186 0.00232382 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANAC_landscape-250m.tif"
5 1.44468e+07 40246 563186 0.000423707 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANCL_landscape-250m.tif"
6 4.34945e+06 40246 563186 0.00160184 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_spring_ANCR_landscape-250m.tif"
7 2.24969e+06 40246 563186 0.00180344 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_AMAV_landscape-250m.tif"
8 1.04162e+07 40246 563186 0.000358296 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_BNST_landscape-250m.tif"
9 1.32072e+07 40246 563186 0.00104812 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DOWI_landscape-250m.tif"
10 1.55232e+06 40246 563186 0.00120386 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DUNL_landscape-250m.tif"
11 4.73231e+06 40246 563186 0.00182538 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANAC_landscape-250m.tif"
12 1.17905e+07 40246 563186 0.00162667 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCL_landscape-250m.tif"
13 3.64954e+06 40246 563186 0.00416972 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_landscape-250m.tif"
14 1.87551e+06 40246 563186 0.00197016 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_landscape-250m.tif"
15 7.39951e+06 40246 563186 1.34989e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_landscape-250m.tif"
16 1.04686e+07 40246 563186 0.00126202 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_landscape-250m.tif"
17 4.37025e+06 40246 563186 0.000354014 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_landscape-250m.tif"
18 4.65351e+06 40246 563186 0.000676801 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_landscape-250m.tif"
19 1.28144e+07 40246 563186 0.00137711 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_landscape-250m.tif"
20 3.87141e+06 40246 563186 0.000416441 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_landscape-250m.tif"
21 1.43871e+06 40246 563186 0.00393883 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_landscape-250m.tif"
22 7.60903e+06 40246 563186 0.000482312 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_landscape-250m.tif"
23 7.56642e+06 40246 563186 0.00102358 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_landscape-250m.tif"
24 6.82945e+06 40246 563186 0.000765264 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_landscape-250m.tif"
25 4.76e+06 40246 563186 0.00148189 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_landscape-250m.tif"
26 1.65961e+07 40246 563186 0.000130171 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_landscape-250m.tif"
27 4.60094e+06 40246 563186 0.000587820 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_landscape-250m.tif"
