"number" "dsum" "count" "missing" "quant_error" "fname"
0 735545. 40246 563186 0.00182378 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_AMAV_inside.tif"
1 2.24969e+06 40246 563186 0.00180344 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_AMAV_landscape-250m.tif"
2 1.36838e+08 40246 563186 0.000977149 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_AMAV_landscape-5km.tif"
3 3.40277e+06 40246 563186 0.00117273 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_BNST_inside.tif"
4 1.04162e+07 40246 563186 0.000358296 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_BNST_landscape-250m.tif"
5 3.78064e+08 40246 563186 0.000598517 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_BNST_landscape-5km.tif"
6 4.3131e+06 40246 563186 0.000547796 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DOWI_inside.tif"
7 1.32072e+07 40246 563186 0.00104812 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DOWI_landscape-250m.tif"
8 4.0813e+08 40246 563186 8.75239e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DOWI_landscape-5km.tif"
9 506919. 40246 563186 0.00134854 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DUNL_inside.tif"
10 1.55232e+06 40246 563186 0.00120386 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DUNL_landscape-250m.tif"
11 1.073e+08 40246 563186 0.000887170 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DUNL_landscape-5km.tif"
12 1.54567e+06 40246 563186 0.00402958 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANAC_inside.tif"
13 4.73231e+06 40246 563186 0.00182538 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANAC_landscape-250m.tif"
14 2.23595e+08 40246 563186 0.00523660 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANAC_landscape-5km.tif"
15 3.85021e+06 40246 563186 0.00218431 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCL_inside.tif"
16 1.17905e+07 40246 563186 0.00162667 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCL_landscape-250m.tif"
17 7.33527e+08 40246 563186 0.000227935 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCL_landscape-5km.tif"
18 1.19167e+06 40246 563186 0.00559512 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_inside.tif"
19 3.64954e+06 40246 563186 0.00416972 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_landscape-250m.tif"
20 1.13353e+08 40246 563186 0.00602608 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_landscape-5km.tif"
