"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.00000 0.0000 0.0000 0.0000
0.00010 0.6639 0.6639 0.9607
0.00020 0.6747 0.6747 1.0213
0.00030 0.6909 0.6909 0.8762
0.00040 0.6933 0.6933 0.8750
0.00050 0.6957 0.6957 0.8726
0.00060 0.6963 0.6963 0.8660
0.00070 0.6717 0.6717 1.0111
0.00080 0.6759 0.6759 1.0627
0.00089 0.6927 0.6927 0.9403
0.00099 0.6981 0.6981 1.0321
0.00109 0.7041 0.7041 0.9763
0.00119 0.7005 0.7005 0.8822
0.00129 0.7197 0.7197 1.0261
0.00139 0.7161 0.7161 0.9739
0.00149 0.6699 0.6699 1.0447
0.00159 0.6573 0.6573 1.0639
0.00169 0.6621 0.6621 1.0603
0.00179 0.6771 0.6771 0.8960
0.00189 0.6903 0.6903 0.8972
0.00199 0.6957 0.6957 1.0069
0.00209 0.7077 0.7077 0.9709
0.00219 0.7239 0.7239 1.0429
0.00229 0.7274 0.7274 1.0657
0.00239 0.7299 0.7299 0.9943
0.00248 0.7197 0.7197 0.9703
0.00258 0.7077 0.7077 0.9230
0.00268 0.7077 0.7077 0.9385
0.00278 0.7305 0.7305 1.0261
0.00288 0.6981 0.6981 1.0657
0.00298 0.6609 0.6609 1.0651
0.00308 0.6855 0.6855 0.8372
0.00318 0.6879 0.6879 0.9433
0.00328 0.6897 0.6897 0.8846
0.00338 0.6951 0.6951 0.8834
0.00348 0.6981 0.6981 0.8342
0.00358 0.7011 0.7011 0.8384
0.00368 0.7071 0.7071 0.8570
0.00378 0.7700 0.7700 1.0417
0.00388 0.7287 0.7287 0.9901
0.00398 0.7322 0.7322 0.9811
0.00407 0.7274 0.7274 0.9883
0.00417 0.7340 0.7340 1.0015
0.00427 0.6981 0.6981 0.8918
0.00437 0.7071 0.7071 0.8318
0.00447 0.7125 0.7125 1.0093
0.00457 0.7179 0.7179 0.9373
0.00467 0.7197 0.7197 0.9014
0.00477 0.7221 0.7221 0.9410
0.00487 0.7263 0.7263 1.0489
0.00497 0.7322 0.7322 1.0315
0.00507 0.7400 0.7400 1.0423
0.00517 0.7568 0.7568 1.0633
0.00527 0.7460 0.7460 1.0411
0.00537 0.7382 0.7382 0.9961
0.00547 0.7191 0.7191 0.9445
0.00557 0.6957 0.6957 0.8654
0.00567 0.6963 0.6963 0.8600
0.00576 0.7005 0.7005 0.8546
0.00586 0.7011 0.7011 0.8486
0.00596 0.7065 0.7065 0.8510
0.00606 0.7089 0.7089 0.9074
0.00616 0.7149 0.7149 0.9589
0.00626 0.7191 0.7191 0.9661
0.00636 0.7197 0.7197 1.0801
0.00646 0.7221 0.7221 0.9547
0.00656 0.7227 0.7227 1.0711
0.00666 0.7239 0.7239 1.0651
0.00676 0.7251 0.7251 0.9583
0.00686 0.7280 0.7280 0.9026
0.00696 0.7293 0.7293 1.0729
0.00706 0.7316 0.7316 1.0855
0.00716 0.7394 0.7394 1.0081
0.00726 0.7550 0.7550 1.0735
0.00735 0.7281 0.7281 0.9236
0.00745 0.6645 0.6645 1.0651
0.00755 0.6693 0.6693 1.3236
0.00765 0.6837 0.6837 1.0975
0.00775 0.6951 0.6951 0.8828
0.00785 0.6957 0.6957 0.8918
0.00795 0.7023 0.7023 0.8840
0.00805 0.7149 0.7149 0.8240
0.00815 0.7173 0.7173 0.8192
0.00825 0.7203 0.7203 0.8180
0.00835 0.7221 0.7221 0.8258
0.00845 0.7239 0.7239 0.9290
0.00855 0.7274 0.7274 0.9361
0.00865 0.7317 0.7317 0.9218
0.00875 0.7340 0.7340 0.9308
0.00885 0.7406 0.7406 0.9763
0.00894 0.7472 0.7472 0.9871
0.00904 0.7550 0.7550 1.0363
0.00914 0.7646 0.7646 1.0345
0.00924 0.7700 0.7700 1.0561
0.00934 0.8084 0.8084 1.0549
0.00944 0.7634 0.7634 0.9979
0.00954 0.7430 0.7430 0.9739
0.00964 0.7113 0.7113 0.8402
0.00974 0.6681 0.6681 0.8012
0.00984 0.6693 0.6693 1.1958
0.00994 0.6717 0.6717 1.0663
