"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.7418 0.7418
0.00020 0.7388 0.7388
0.00030 0.7125 0.7125
0.00040 0.7143 0.7143
0.00050 0.7119 0.7119
0.00060 0.7376 0.7376
0.00070 0.7083 0.7083
0.00080 0.8582 0.8582
0.00089 0.9068 0.9068
0.00099 0.9116 0.9116
0.00109 0.9128 0.9128
0.00119 0.9092 0.9092
0.00129 0.9110 0.9110
0.00139 0.9182 0.9182
0.00149 0.7592 0.7592
0.00159 0.7071 0.7071
0.00169 0.7131 0.7131
0.00179 0.7161 0.7161
0.00189 0.9170 0.9170
0.00199 0.9134 0.9134
0.00209 0.9116 0.9116
0.00219 0.9170 0.9170
0.00229 0.9194 0.9194
0.00239 0.9140 0.9140
0.00248 0.9116 0.9116
0.00258 0.9200 0.9200
0.00268 0.8900 0.8900
0.00278 0.9164 0.9164
0.00288 0.9224 0.9224
0.00298 0.9248 0.9248
0.00308 0.9176 0.9176
0.00318 0.9068 0.9068
0.00328 0.9116 0.9116
0.00338 0.9212 0.9212
0.00348 0.9278 0.9278
0.00358 0.9290 0.9290
0.00368 0.7101 0.7101
0.00378 0.7910 0.7910
0.00388 0.9146 0.9146
0.00398 0.9200 0.9200
0.00407 0.9236 0.9236
0.00417 0.9254 0.9254
0.00427 0.9182 0.9182
0.00437 0.9152 0.9152
0.00447 0.9206 0.9206
0.00457 0.9158 0.9158
0.00467 0.9170 0.9170
0.00477 0.9218 0.9218
0.00487 0.9284 0.9284
0.00497 0.9272 0.9272
0.00507 0.9182 0.9182
0.00517 0.9266 0.9266
0.00527 0.9212 0.9212
0.00537 0.9128 0.9128
0.00547 0.9134 0.9134
0.00557 0.9146 0.9146
0.00567 0.9176 0.9176
0.00576 0.9224 0.9224
0.00586 0.9248 0.9248
0.00596 0.9278 0.9278
0.00606 0.9284 0.9284
0.00616 0.9284 0.9284
0.00626 0.9296 0.9296
0.00636 0.9308 0.9308
0.00646 0.9314 0.9314
0.00656 0.8228 0.8228
0.00666 0.7125 0.7125
0.00676 0.8216 0.8216
0.00686 0.9164 0.9164
0.00696 0.9260 0.9260
0.00706 0.9278 0.9278
0.00716 0.9290 0.9290
0.00726 0.9308 0.9308
0.00735 0.9308 0.9308
0.00745 0.9344 0.9344
0.00755 0.9367 0.9367
0.00765 0.9403 0.9403
0.00775 0.9212 0.9212
0.00785 0.9176 0.9176
0.00795 0.9182 0.9182
0.00805 0.9212 0.9212
0.00815 0.9254 0.9254
0.00825 0.9122 0.9122
0.00835 0.9134 0.9134
0.00845 0.9146 0.9146
0.00855 0.9032 0.9032
0.00865 0.9290 0.9290
0.00875 0.9326 0.9326
0.00885 0.9385 0.9385
0.00894 0.9355 0.9355
0.00904 0.9140 0.9140
0.00914 0.9152 0.9152
0.00924 0.9170 0.9170
0.00934 0.9242 0.9242
0.00944 0.9248 0.9248
0.00954 0.9266 0.9266
0.00964 0.9278 0.9278
0.00974 0.9284 0.9284
0.00984 0.9278 0.9278
0.00994 0.9296 0.9296
0.01004 0.9290 0.9290
0.01014 0.9302 0.9302
0.01024 0.9296 0.9296
0.01034 0.9302 0.9302
0.01044 0.9320 0.9320
0.01054 0.9350 0.9350
0.01063 0.9355 0.9355
0.01073 0.8858 0.8858
0.01083 0.7161 0.7161
0.01093 0.8552 0.8552
0.01103 0.9152 0.9152
0.01113 0.9206 0.9206
0.01123 0.9188 0.9188
0.01133 0.9170 0.9170
0.01143 0.9194 0.9194
0.01153 0.9206 0.9206
0.01163 0.9224 0.9224
0.01173 0.9260 0.9260
0.01183 0.9254 0.9254
0.01193 0.9074 0.9074
0.01203 0.9158 0.9158
0.01213 0.9164 0.9164
0.01222 0.9176 0.9176
0.01232 0.9188 0.9188
0.01242 0.9212 0.9212
0.01252 0.9212 0.9212
0.01262 0.9212 0.9212
0.01272 0.9230 0.9230
0.01282 0.9248 0.9248
0.01292 0.9260 0.9260
0.01302 0.9284 0.9284
0.01312 0.9320 0.9320
0.01322 0.9296 0.9296
0.01332 0.9344 0.9344
0.01342 0.9355 0.9355
0.01352 0.9415 0.9415
0.01362 0.9445 0.9445
0.01372 0.9385 0.9385
0.01382 0.9278 0.9278
0.01391 0.9314 0.9314
0.01401 0.9320 0.9320
0.01411 0.9320 0.9320
0.01421 0.9326 0.9326
0.01431 0.9350 0.9350
0.01441 0.9344 0.9344
0.01451 0.9355 0.9355
0.01461 0.9361 0.9361
0.01471 0.9374 0.9374
0.01481 0.9397 0.9397
0.01491 0.9409 0.9409
0.01501 0.9385 0.9385
0.01511 0.9248 0.9248
0.01521 0.9254 0.9254
0.01531 0.9260 0.9260
0.01541 0.9272 0.9272
0.01550 0.9284 0.9284
0.01560 0.9290 0.9290
0.01570 0.9307 0.9307
0.01580 0.9302 0.9302
0.01590 0.9332 0.9332
0.01600 0.9332 0.9332
0.01610 0.9367 0.9367
0.01620 0.9397 0.9397
0.01630 0.9457 0.9457
0.01640 0.9344 0.9344
0.01650 0.9176 0.9176
0.01660 0.9248 0.9248
0.01670 0.9284 0.9284
0.01680 0.7700 0.7700
0.01690 0.7161 0.7161
0.01700 0.7257 0.7257
0.01709 0.8300 0.8300
0.01719 0.9206 0.9206
0.01729 0.9248 0.9248
0.01739 0.9278 0.9278
0.01749 0.9367 0.9367
0.01759 0.9379 0.9379
0.01769 0.9074 0.9074
0.01779 0.9086 0.9086
0.01789 0.9098 0.9098
0.01799 0.9146 0.9146
0.01809 0.9224 0.9224
0.01819 0.9242 0.9242
0.01829 0.9230 0.9230
0.01839 0.9254 0.9254
0.01849 0.9248 0.9248
0.01859 0.9254 0.9254
0.01869 0.9266 0.9266
0.01878 0.9278 0.9278
0.01888 0.9290 0.9290
0.01898 0.9278 0.9278
0.01908 0.9296 0.9296
0.01918 0.9302 0.9302
0.01928 0.9314 0.9314
0.01938 0.9314 0.9314
0.01948 0.9314 0.9314
0.01958 0.9320 0.9320
0.01968 0.9332 0.9332
0.01978 0.9332 0.9332
0.01988 0.9350 0.9350
0.01998 0.9344 0.9344
0.02008 0.9361 0.9361
0.02018 0.9379 0.9379
0.02028 0.9392 0.9392
0.02037 0.9421 0.9421
0.02047 0.9338 0.9338
0.02057 0.9050 0.9050
0.02067 0.9158 0.9158
0.02077 0.9170 0.9170
0.02087 0.9164 0.9164
0.02097 0.9176 0.9176
0.02107 0.9182 0.9182
0.02117 0.9182 0.9182
0.02127 0.9194 0.9194
0.02137 0.9218 0.9218
0.02147 0.9224 0.9224
0.02157 0.9224 0.9224
0.02167 0.9242 0.9242
0.02177 0.9248 0.9248
0.02187 0.9260 0.9260
0.02196 0.9272 0.9272
0.02206 0.9278 0.9278
0.02216 0.9290 0.9290
0.02226 0.9296 0.9296
0.02236 0.9290 0.9290
0.02246 0.9308 0.9308
0.02256 0.9326 0.9326
0.02266 0.9314 0.9314
0.02276 0.9302 0.9302
0.02286 0.9344 0.9344
0.02296 0.9344 0.9344
0.02306 0.9391 0.9391
0.02316 0.9427 0.9427
0.02326 0.9452 0.9452
0.02336 0.9475 0.9475
0.02346 0.9493 0.9493
0.02356 0.9517 0.9517
0.02365 0.9547 0.9547
0.02375 0.9236 0.9236
0.02385 0.9218 0.9218
0.02395 0.9278 0.9278
0.02405 0.9367 0.9367
